Common Name,Threatened status,ACT,NSW,NT,QLD,SA,TAS,VIC,WA,Kingdom,Class
Woylie,Endangered,-,Yes,-,-,Yes,-,-,Yes,Animalia,Mammalia
"Brush-tailed Bettong (central and south-east), Brush-tailed Bettong (south-east mainland)",Extinct,-,Yes,Yes,Yes,Yes,-,Yes,Yes,Animalia,Mammalia
Nullarbor Dwarf Bettong,Extinct,-,-,-,-,Yes,-,-,Yes,Animalia,Mammalia
Northern Bettong,Endangered,-,Yes,-,Yes,-,-,-,-,Animalia,Mammalia
"Small-petalled Beyeria, Short-petalled Beyeria",Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida
Kangaroo Island Turpentine Bush,Vulnerable,-,-,-,-,Yes,-,-,-,Plantae,Magnoliopsida
"Silver Perch, Bidyan",Endangered,Yes,Yes,-,Yes,Yes,-,Yes,-,Animalia,Actinopterygii
Norfolk Island Water-fern,Endangered,-,-,-,-,-,-,-,-,Plantae,Polypodiatae
"Tree Nettle, Nettletree",Critically Endangered,-,-,-,-,-,-,-,-,Plantae,Magnoliopsida
Barbalin Boronia,Vulnerable,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida
-,Critically Endangered,-,Yes,-,-,-,-,-,-,Plantae,Magnoliopsida
a shrub,Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida
Bremer Boronia,Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida
-,Endangered,-,Yes,-,-,-,-,-,-,Plantae,Magnoliopsida
-,Endangered,-,Yes,-,-,-,-,-,-,Plantae,Magnoliopsida
Scott River Boronia,Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida
"Aniseed Boronia, Galbraith's Boronia",Vulnerable,-,-,-,-,-,-,Yes,-,Plantae,Magnoliopsida
Granite Boronia,Endangered,-,Yes,-,Yes,-,-,-,-,Plantae,Magnoliopsida
Grimshaw's boronia,Critically Endangered,-,-,-,Yes,-,-,-,-,Plantae,Magnoliopsida
"Gunn's Boronia, Cataract Gorge Boronia",Vulnerable,-,-,-,-,-,Yes,-,-,Plantae,Magnoliopsida
Mt Arthur Boronia,Vulnerable,-,-,-,-,-,Yes,-,-,Plantae,Magnoliopsida
Velvet Boronia,Vulnerable,-,-,-,-,-,Yes,-,-,Plantae,Magnoliopsida
-,Critically Endangered,-,Yes,-,-,-,-,-,-,Plantae,Magnoliopsida
-,Critically Endangered,-,Yes,-,-,-,-,-,-,Plantae,Magnoliopsida
Key's Boronia,Vulnerable,-,-,-,Yes,-,-,-,-,Plantae,Magnoliopsida
a shrub,Vulnerable,-,-,Yes,-,-,-,-,-,Plantae,Magnoliopsida
"Repand Boronia, Border Boronia",Endangered,-,Yes,-,Yes,-,-,-,-,Plantae,Magnoliopsida
Ironcap Boronia,Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida
Awl-leaved Boronia,Endangered,-,Yes,-,-,-,-,-,-,Plantae,Magnoliopsida
Orara Boronia,Vulnerable,-,Yes,-,-,-,-,-,-,Plantae,Magnoliopsida
a shrub,Vulnerable,-,-,Yes,-,-,-,-,-,Plantae,Magnoliopsida
Grampians Pincushion-lily,Endangered,-,-,-,-,-,-,Yes,-,Plantae,Liliopsida
"Three-leaved Bosistoa, Yellow Satinheart",Vulnerable,-,Yes,-,Yes,-,-,-,-,Plantae,Magnoliopsida
-,Critically Endangered,-,Yes,-,-,-,-,-,-,Plantae,Magnoliopsida
-,Vulnerable,-,Yes,-,-,-,-,-,-,Plantae,Magnoliopsida
Sword Bossiaea,Endangered,-,-,-,-,Yes,-,-,-,Plantae,Magnoliopsida
-,Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida
Australasian Bittern,Endangered,Yes,Yes,-,Yes,Yes,Yes,Yes,Yes,Animalia,Aves
Satin-top Grass,Vulnerable,-,-,-,Yes,-,-,-,-,Plantae,Liliopsida
Spotted Handfish,Critically Endangered,-,-,-,-,-,Yes,-,-,Animalia,Actinopterygii
"Ziebell's Handfish, Waterfall Bay Handfish",Vulnerable,-,-,-,-,-,Yes,-,-,Animalia,Actinopterygii
Blackwall Range Kurrajong,Critically Endangered,-,-,-,Yes,-,-,-,-,Plantae,Magnoliopsida
Ormeau Bottle Tree,Critically Endangered,-,-,-,Yes,-,-,-,-,Plantae,Magnoliopsida
Ironstone Brachyscias,Critically Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida
-,Critically Endangered,-,Yes,-,-,-,-,-,-,Plantae,Magnoliopsida
Corunna Daisy,Endangered,-,-,-,-,Yes,-,-,-,Plantae,Magnoliopsida
Mueller Daisy,Vulnerable,-,Yes,-,-,-,-,Yes,-,Plantae,Magnoliopsida
Mossgiel Daisy,Vulnerable,-,Yes,-,-,-,-,-,-,Plantae,Magnoliopsida
-,Vulnerable,-,-,-,Yes,-,-,-,-,Plantae,Magnoliopsida
Haines's Orange Mangrove,Critically Endangered,-,-,-,Yes,-,-,-,-,Plantae,Magnoliopsida
Budawangs Cliff-heath,Vulnerable,-,Yes,-,-,-,-,-,-,Plantae,Magnoliopsida
"Miniature Moss-orchid, Hoop Pine Orchid",Vulnerable,-,Yes,-,Yes,-,-,-,-,Plantae,Liliopsida
Wispy Umbrella Orchid,Vulnerable,-,-,-,Yes,-,-,-,-,Plantae,Liliopsida
Pale Umbrella Orchid,Vulnerable,-,-,-,Yes,-,-,-,-,Plantae,Liliopsida
-,Endangered,-,-,Yes,-,-,-,-,-,Plantae,Liliopsida
Mountain Pygmy-possum,Endangered,-,Yes,-,-,-,-,Yes,-,Animalia,Mammalia
Ooline,Vulnerable,-,Yes,-,Yes,-,-,-,-,Plantae,Magnoliopsida
Daintree Rainbowfish,Critically Endangered,-,-,-,Yes,-,-,-,-,Animalia,Actinopterygii
"Cairns Rainbowfish, Northern Soft-spined Sunfish",Endangered,-,-,-,Yes,-,-,-,-,Animalia,Actinopterygii
Canberra Spider Orchid,Critically Endangered,Yes,-,-,-,-,-,-,-,Plantae,Liliopsida
-,Endangered,-,Yes,-,-,-,-,-,-,Plantae,Liliopsida
Charming Spider-orchid,Endangered,-,-,-,-,-,-,Yes,-,Plantae,Liliopsida
"Genoa Spider-orchid, Gippsland Spider Orchid",Critically Endangered,-,Yes,-,-,-,-,Yes,-,Plantae,Liliopsida
Black-tipped Spider-orchid,Critically Endangered,-,-,-,-,-,Yes,-,-,Plantae,Liliopsida
Sand-hill Spider-orchid,Endangered,-,Yes,-,-,-,-,-,-,Plantae,Liliopsida
White-beauty Spider-orchid,Endangered,-,-,-,-,Yes,-,-,-,Plantae,Liliopsida
Black-clubbed Spider-orchid,Endangered,-,Yes,-,Yes,-,-,-,-,Plantae,Liliopsida
Duramana Fingers,Critically Endangered,-,Yes,-,-,-,-,-,-,Plantae,Liliopsida
"McIvor Spider-orchid, Audas' Spider-orchid",Endangered,-,-,-,-,-,-,Yes,-,Plantae,Liliopsida
"Small Dragon Orchid, Common Dragon Orchid",Endangered,-,-,-,-,-,-,-,Yes,Plantae,Liliopsida
Pink-lipped Spider-orchid,Endangered,-,-,-,-,Yes,-,-,-,Plantae,Liliopsida
Short Spider-orchid,Extinct,-,-,-,-,-,Yes,Yes,-,Plantae,Liliopsida
Winter Spider-orchid,Vulnerable,-,-,-,-,Yes,-,-,-,Plantae,Liliopsida
Dwarf Spider-orchid,Endangered,-,-,-,-,-,-,-,Yes,Plantae,Liliopsida
Northern Dwarf Spider-orchid,Vulnerable,-,-,-,-,-,-,-,Yes,Plantae,Liliopsida
Bussell's Spider-orchid,Endangered,-,-,-,-,-,-,-,Yes,Plantae,Liliopsida
Cape Spider-orchid,Endangered,-,-,-,-,-,-,-,Yes,Plantae,Liliopsida
Limestone Spider-orchid,Vulnerable,-,-,-,-,Yes,-,Yes,-,Plantae,Liliopsida
"Thick-stem Caladenia, Thick-stem Fairy Fingers",Critically Endangered,-,-,-,-,-,Yes,-,-,Plantae,Liliopsida
Tailed Spider-orchid,Vulnerable,-,-,-,-,-,Yes,-,-,Plantae,Liliopsida
Christine's Spider Orchid,Vulnerable,-,-,-,-,-,-,-,Yes,Plantae,Liliopsida
"Coloured Spider-orchid, Small Western Spider-orchid, Painted Spider-orchid",Endangered,-,-,-,-,Yes,-,Yes,-,Plantae,Liliopsida
"Crimson Spider-orchid, Maroon Spider-orchid",Vulnerable,-,Yes,-,-,Yes,-,Yes,-,Plantae,Liliopsida
Coast Spider-orchid,Endangered,-,-,-,-,Yes,-,-,-,Plantae,Liliopsida
"Don's Spider Orchid, Beady Spider Orchid",Critically Endangered,-,-,-,-,-,-,Yes,-,Plantae,Liliopsida
Windswept Spider-orchid,Endangered,-,-,-,-,-,Yes,-,-,Plantae,Liliopsida
Cossack Spider-orchid,Endangered,-,-,-,-,-,-,-,Yes,Plantae,Liliopsida
Hinged Dragon Orchid,Endangered,-,-,-,-,-,-,-,Yes,Plantae,Liliopsida
Elegant Spider-orchid,Endangered,-,-,-,-,-,-,-,Yes,Plantae,Liliopsida
Giant Spider-orchid,Endangered,-,-,-,-,-,-,-,Yes,Plantae,Liliopsida
"Elegant Spider-orchid, Blood-red Spider-orchid",Vulnerable,-,-,-,-,Yes,-,Yes,-,Plantae,Liliopsida
Tawny Spider-orchid,Endangered,-,-,-,-,Yes,-,Yes,-,Plantae,Liliopsida
"Bayonet Spider-orchid, Clubbed Spider-orchid",Endangered,-,-,-,-,Yes,-,-,-,Plantae,Liliopsida
"Pingaring Spider-orchid, Granite Spider-orchid",Endangered,-,-,-,-,-,-,-,Yes,Plantae,Liliopsida
-,Endangered,-,-,-,-,-,-,-,Yes,Plantae,Liliopsida
"Harrington's Spider-orchid, Pink Spider-orchid",Vulnerable,-,-,-,-,-,-,-,Yes,Plantae,Liliopsida
Melblom's Spider-orchid,Endangered,-,-,-,-,-,-,Yes,-,Plantae,Liliopsida
Hoffman's Spider-orchid,Endangered,-,-,-,-,-,-,-,Yes,Plantae,Liliopsida
"Quindanning Spider Orchid, Boddington Spider Orchid",Endangered,-,-,-,-,-,-,-,Yes,Plantae,Liliopsida
"King Spider-orchid, Grand Spider-orchid, Rusty Spider-orchid",Endangered,-,-,-,-,-,-,-,Yes,Plantae,Liliopsida
French Island Spider-orchid,Vulnerable,-,-,-,-,-,-,Yes,-,Plantae,Liliopsida
Ghost Spider-orchid,Critically Endangered,-,-,-,-,Yes,-,-,-,Plantae,Liliopsida
Collie Spider Orchid,Endangered,-,-,-,-,-,-,-,Yes,Plantae,Liliopsida
Lindley's Spider-orchid,Critically Endangered,-,-,-,-,-,Yes,-,-,Plantae,Liliopsida
Lodge's Spider-orchid,Critically Endangered,-,-,-,-,-,-,-,Yes,Plantae,Liliopsida
Wimmera Spider-orchid,Endangered,-,-,-,-,Yes,-,Yes,-,Plantae,Liliopsida
Lemon Spider Orchid,Critically Endangered,-,-,-,-,-,-,-,Yes,Plantae,Liliopsida
Large-club Spider-orchid,Endangered,-,-,-,-,Yes,-,-,-,Plantae,Liliopsida
"Ballerina Orchid, Ballerina Spider Orchid",Critically Endangered,-,-,-,-,-,-,-,Yes,Plantae,Liliopsida
Eastern Spider Orchid,Endangered,-,-,-,-,-,-,Yes,-,Plantae,Liliopsida
Ornate Pink Fingers,Vulnerable,-,-,-,-,Yes,-,Yes,-,Plantae,Liliopsida
Kangaroo Island Spider-orchid,Endangered,-,-,-,-,Yes,-,-,-,Plantae,Liliopsida
"Rosy Spider Orchid, Pale Spider-orchid, Summer Spider-orchid",Critically Endangered,-,-,-,-,-,Yes,-,-,Plantae,Liliopsida
Carbunup King Spider Orchid,Critically Endangered,-,-,-,-,-,-,-,Yes,Plantae,Liliopsida
Dwarf Spider-orchid,Critically Endangered,-,-,-,-,-,-,Yes,-,Plantae,Liliopsida
Little Dip Spider-orchid,Endangered,-,-,-,-,Yes,-,-,-,Plantae,Liliopsida
Stiff White Spider-orchid,Endangered,-,-,-,-,Yes,-,-,-,Plantae,Liliopsida
Frankston Spider-orchid,Endangered,-,-,-,-,-,-,Yes,-,Plantae,Liliopsida
"Rosella Spider-orchid, Little Pink Spider-orchid",Endangered,-,Yes,-,-,-,-,Yes,-,Plantae,Liliopsida
Sagg Spider-orchid,Critically Endangered,-,-,-,-,-,Yes,-,-,Plantae,Liliopsida
Kilsyth South Spider-orchid,Critically Endangered,-,-,-,-,-,-,Yes,-,Plantae,Liliopsida
Forest Fingers,Critically Endangered,-,-,-,-,-,Yes,-,-,Plantae,Liliopsida
"Greencomb Spider-orchid, Rigid Spider-orchid",Endangered,-,Yes,-,-,Yes,-,Yes,-,Plantae,Liliopsida
"Thick-lipped Spider-orchid, Daddy Long-legs",Vulnerable,-,Yes,-,-,-,-,Yes,-,Plantae,Liliopsida
Fringed Spider-orchid,Endangered,-,-,-,-,-,-,Yes,-,Plantae,Liliopsida
Robust Fingers,Critically Endangered,-,-,-,-,-,Yes,-,-,Plantae,Liliopsida
Candy Spider-orchid,Vulnerable,-,-,-,-,Yes,-,Yes,-,Plantae,Liliopsida
Dunsborough Spider-orchid,Endangered,-,-,-,-,-,-,-,Yes,Plantae,Liliopsida
Kalbarri Spider-orchid,Vulnerable,-,-,-,-,-,-,-,Yes,Plantae,Liliopsida
Williams Spider Orchid,Endangered,-,-,-,-,-,-,-,Yes,Plantae,Liliopsida
Majestic Spider-orchid,Endangered,-,-,-,-,-,-,-,Yes,Plantae,Liliopsida
Woolcock's Spider-orchid,Vulnerable,-,-,-,-,Yes,-,-,-,Plantae,Liliopsida
Yellow-lip Spider-orchid,Endangered,-,Yes,-,-,Yes,-,Yes,-,Plantae,Liliopsida
"White Rabbits, Flinders Ranges White Caladenia",Endangered,-,-,-,-,Yes,-,-,-,Plantae,Liliopsida
Chestnut-rumped Heathwren (Mt Lofty Ranges),Endangered,-,-,-,-,Yes,-,-,-,Animalia,Aves
Blue Tinsel Lily,Critically Endangered,-,-,-,-,-,-,-,Yes,Plantae,Liliopsida
Elegant Tinsel Lily,Critically Endangered,-,-,-,-,-,-,-,Yes,Plantae,Liliopsida
Stilted Tinsel Lily,Vulnerable,-,-,-,-,-,-,-,Yes,Plantae,Liliopsida
Sharp-tailed Sandpiper,Vulnerable,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Animalia,Aves
"Red Knot, Knot",Vulnerable,-,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Animalia,Aves
Curlew Sandpiper,Critically Endangered,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Animalia,Aves
Great Knot,Vulnerable,-,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Animalia,Aves
Forrester's Bottlebrush,Vulnerable,-,Yes,-,-,-,-,Yes,-,Plantae,Magnoliopsida
Betka Bottlebrush,Vulnerable,-,-,-,-,-,-,Yes,-,Plantae,Magnoliopsida
Megalong Valley Bottlebrush,Critically Endangered,-,Yes,-,-,-,-,-,-,Plantae,Magnoliopsida
-,Vulnerable,-,Yes,-,Yes,-,-,-,-,Plantae,Magnoliopsida
a bottlebrush,Critically Endangered,-,Yes,-,-,-,-,-,-,Plantae,Magnoliopsida
Wimmera Bottlebrush,Critically Endangered,-,-,-,-,-,-,Yes,-,Plantae,Magnoliopsida
Corang Pine,Critically Endangered,-,Yes,-,-,-,-,-,-,Plantae,Pinatae
South Esk Pine,Endangered,-,-,-,-,-,Yes,-,-,Plantae,Pinatae
-,Critically Endangered,-,Yes,-,-,-,-,-,-,Plantae,Pinatae
Gang-gang Cockatoo,Endangered,Yes,Yes,-,-,Yes,-,Yes,-,Animalia,Aves
Copper Beard Orchid,Critically Endangered,-,-,-,-,Yes,-,-,-,Plantae,Liliopsida
Cardwell Beard Orchid,Endangered,-,-,-,Yes,-,-,-,-,Plantae,Liliopsida
"Pretty Beard Orchid, Pretty Beard-orchid",Endangered,-,Yes,-,-,-,-,Yes,-,Plantae,Liliopsida
Bald-tip Beard-orchid,Endangered,-,-,-,-,-,-,Yes,-,Plantae,Liliopsida
-,Vulnerable,-,-,-,Yes,-,-,-,-,Plantae,Magnoliopsida
Desert Rat-kangaroo,Extinct,-,-,-,Yes,Yes,-,-,-,Animalia,Mammalia
Mauve Burr-daisy,Vulnerable,Yes,Yes,-,-,-,-,-,-,Plantae,Magnoliopsida
Moore's Burr-daisy,Endangered,-,Yes,-,-,-,-,-,-,Plantae,Magnoliopsida
South-eastern Red-tailed Black-Cockatoo,Endangered,-,-,-,-,Yes,-,Yes,-,Animalia,Aves
"Forest Red-tailed Black-Cockatoo, Karrak",Vulnerable,-,-,-,-,-,-,-,Yes,Animalia,Aves
"Baudin's Cockatoo, Long-billed Black-Cockatoo",Endangered,-,-,-,-,-,-,-,Yes,Animalia,Aves
"Kangaroo Island Glossy Black-Cockatoo, Glossy Black-Cockatoo (South Australian)",Endangered,-,-,-,-,Yes,-,-,-,Animalia,Aves
South-eastern Glossy Black-Cockatoo,Vulnerable,Yes,Yes,-,Yes,-,-,Yes,-,Animalia,Aves
"Carnaby's Cockatoo,  Short-billed Black-Cockatoo",Endangered,-,-,-,-,-,-,-,Yes,Animalia,Aves
-,Critically Endangered,-,Yes,-,-,-,-,-,-,Plantae,Magnoliopsida
Swamp Starflower,Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida
-,Vulnerable,-,-,-,Yes,-,-,-,-,Plantae,Magnoliopsida
-,Vulnerable,-,-,-,Yes,-,-,-,-,Plantae,Magnoliopsida
-,Vulnerable,-,-,-,Yes,-,-,-,-,Plantae,Magnoliopsida
Grey Nurse Shark (east coast population),Critically Endangered,-,Yes,-,Yes,-,-,Yes,-,Animalia,Chondrichthyes
Grey Nurse Shark (west coast population),Vulnerable,-,-,-,-,-,-,-,Yes,Animalia,Chondrichthyes
"White Shark, Great White Shark",Vulnerable,-,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Animalia,Chondrichthyes
Loggerhead Turtle,Endangered,-,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Animalia,Reptilia
"Pig-nosed Turtle, Pitted Shell Turtle",Vulnerable,-,-,Yes,-,-,-,-,-,Animalia,Reptilia
"Alpine Cool-skink, Northern Snow Skink",Endangered,-,-,-,-,-,Yes,-,-,Animalia,Reptilia
"Boulder Cool-skink, Southern Snow Skink",Endangered,-,-,-,-,-,Yes,-,-,Animalia,Reptilia
"Heath Cool-skink, Mountain Skink",Endangered,-,-,-,-,-,Yes,-,-,Animalia,Reptilia
"Pedra Branca Skink,  Pedra Branca Cool-skink, Red-throated Skink",Critically Endangered,-,-,-,-,-,Yes,-,-,Animalia,Reptilia
-,Endangered,-,-,-,Yes,-,-,-,-,Plantae,Magnoliopsida
-,Endangered,-,Yes,-,-,-,-,-,-,Plantae,Magnoliopsida
"Wrinkled Cassinia, Wrinkled Dollybush",Vulnerable,-,-,-,-,Yes,Yes,Yes,-,Plantae,Magnoliopsida
Avenue Cassinia,Critically Endangered,-,-,-,-,Yes,-,Yes,-,Plantae,Magnoliopsida
Kaputar Cassinia,Endangered,-,Yes,-,-,-,-,-,-,Plantae,Magnoliopsida
"Southern Cassowary, Australian Cassowary, Double-wattled Cassowary",Endangered,-,-,-,Yes,-,-,-,-,Animalia,Aves
"Pedder Centrolepis, Pedder Bristlewort",Endangered,-,-,-,-,-,Yes,-,-,Plantae,Liliopsida
"Harrisson's Dogfish, Endeavour Dogfish, Dumb Gulper Shark, Harrison's Deepsea Dogfish",Conservation Dependent,-,-,-,-,-,-,-,-,Animalia,Chondrichthyes
Little Gulper Shark,Conservation Dependent,-,Yes,-,-,Yes,Yes,Yes,Yes,Animalia,Chondrichthyes
an orchid,Vulnerable,-,-,-,Yes,-,-,-,-,Plantae,Liliopsida
"Cape Barren Goose (south-western), Recherche Cape Barren Goose",Vulnerable,-,-,-,-,-,-,-,Yes,Animalia,Aves
Tasmanian Azure Kingfisher,Endangered,-,-,-,-,-,Yes,-,-,Animalia,Aves
"Pig-footed Bandicoot, Kanjilpa, Wilalya",Extinct,-,Yes,Yes,Yes,Yes,-,Yes,Yes,Animalia,Mammalia
"Yirratji, Northern Pig-footed Bandicoot",Extinct,-,-,Yes,Yes,Yes,-,-,Yes,Animalia,Mammalia
"Christmas Island Emerald Dove, Emerald Dove (Christmas Island)",Endangered,-,-,-,-,-,-,-,-,Animalia,Aves
"Large-eared Pied Bat, Large Pied Bat",Endangered,-,Yes,-,Yes,-,-,-,-,Animalia,Mammalia
Griffin's Waxflower,Vulnerable,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida
Gingin Wax,Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida
Royce's Waxflower,Vulnerable,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida
"Greater Sand Plover, Large Sand Plover",Vulnerable,-,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Animalia,Aves
"Lesser Sand Plover, Mongolian Plover",Endangered,-,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Animalia,Aves
Twining Finger-flower,Vulnerable,-,-,-,-,Yes,-,-,-,Plantae,Magnoliopsida
Green Turtle,Vulnerable,-,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Animalia,Reptilia
Sand Yabby,Vulnerable,-,-,-,Yes,-,-,-,-,Animalia,Malacostraca
"Hairy Marron, Margaret River Hairy Marron, Margaret River Marron",Critically Endangered,-,-,-,-,-,-,-,Yes,Animalia,Malacostraca
Duck's-head Wasp-orchid,Endangered,-,Yes,-,-,-,-,-,-,Plantae,Liliopsida
-,Endangered,-,-,-,Yes,-,-,-,-,Plantae,Polypodiatae
Dalhousie Goby,Critically Endangered,-,-,-,-,Yes,-,-,-,Animalia,Actinopterygii
Elizabeth Springs Goby,Endangered,-,-,-,Yes,-,-,-,-,Animalia,Actinopterygii
Edgbaston Goby,Vulnerable,-,-,-,Yes,-,-,-,-,Animalia,Actinopterygii
Manypeaks Rush,Endangered,-,-,-,-,-,-,-,Yes,Plantae,Liliopsida
Spiked Sour-bush,Endangered,-,-,-,-,Yes,-,-,-,Plantae,Magnoliopsida
Prostrate Flame Pea,Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida
Limestone Pea,Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida
"Lord Howe Island Gecko, Lord Howe Island Southern Gecko",Vulnerable,-,Yes,-,-,-,-,-,-,Animalia,Reptilia
"Mt Lofty Ranges Spotted Quail-thrush, Spotted Quail-thrush (Mt Lofty Ranges)",Critically Endangered,-,-,-,-,Yes,-,-,-,Animalia,Aves
-,Critically Endangered,-,-,Yes,-,-,-,-,-,Plantae,Magnoliopsida
"a creeper, Clematis",Critically Endangered,-,-,-,-,-,-,-,-,Plantae,Magnoliopsida
Stream Clematis,Vulnerable,-,Yes,-,Yes,-,-,-,-,Plantae,Magnoliopsida
Brown Treecreeper (south-eastern),Vulnerable,Yes,Yes,-,Yes,-,-,Yes,-,Animalia,Aves
"Slender Bell-fruit, Camel Poison",Vulnerable,-,Yes,-,-,Yes,-,-,-,Plantae,Magnoliopsida
Three-toed Snake-tooth Skink,Vulnerable,-,Yes,-,Yes,-,-,-,-,Animalia,Reptilia
Hidden Coleanthera,Extinct,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida
Millmerran Mint Bush,Critically Endangered,-,-,-,Yes,-,-,-,-,Plantae,Magnoliopsida
Curtis' Colobanth,Vulnerable,-,-,-,-,-,Yes,-,-,Plantae,Magnoliopsida
"Lord Howe White-throated Pigeon, White-throated Pigeon (Lord Howe Island)",Extinct,-,Yes,-,-,-,-,-,-,Animalia,Aves
Byfield Matchstick,Vulnerable,-,-,-,Yes,-,-,-,-,Plantae,Magnoliopsida
Many-flowered Commersonia,Critically Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida
Trigwell's Rulingia,Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida
Dwarf Kerrawang,Endangered,-,Yes,-,-,-,-,Yes,-,Plantae,Magnoliopsida
"White-footed Rabbit-rat, Parroo, White-footed Tree-rat",Extinct,-,Yes,-,Yes,Yes,-,Yes,-,Animalia,Mammalia
Capricorn Rabbit-rat,Extinct,-,-,-,Yes,-,-,-,-,Animalia,Mammalia
"Brush-tailed Rabbit-rat, Brush-tailed Tree-rat, Pakooma",Vulnerable,-,-,Yes,Yes,-,-,-,Yes,Animalia,Mammalia
One-headed Smokebush,Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida
-,Critically Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida
Variable Smoke-bush,Vulnerable,-,-,-,-,-,Yes,-,-,Plantae,Magnoliopsida
-,Critically Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida
Wavy-leaved Smokebush,Vulnerable,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida
Irwin's Conostylis,Endangered,-,-,-,-,-,-,-,Yes,Plantae,Liliopsida
Drummond's Conostylis,Endangered,-,-,-,-,-,-,-,Yes,Plantae,Liliopsida
Sedge Conostylis,Endangered,-,-,-,-,-,-,-,Yes,Plantae,Liliopsida
Small-flowered Conostylis,Endangered,-,-,-,-,-,-,-,Yes,Plantae,Liliopsida
Grass Conostylis,Endangered,-,-,-,-,-,-,-,Yes,Plantae,Liliopsida
"Kulin Conostylis, Single-flowered Conostylis",Vulnerable,-,-,-,-,-,-,-,Yes,Plantae,Liliopsida
Hairy Mat Conostylis,Endangered,-,-,-,-,-,-,-,Yes,Plantae,Liliopsida
Boscabel Conostylis,Critically Endangered,-,-,-,-,-,-,-,Yes,Plantae,Liliopsida
Wongan Conostylis,Endangered,-,-,-,-,-,-,-,Yes,Plantae,Liliopsida
Mauve Coopernookia,Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida
-,Vulnerable,-,-,-,Yes,-,-,-,-,Plantae,Magnoliopsida
Tapping Nursery-frog,Endangered,-,-,-,Yes,-,-,-,-,Animalia,Amphibia
Elegant Frog,Critically Endangered,-,-,-,Yes,-,-,-,-,Animalia,Amphibia
"Hosmer's Frog, Rattling Nursery-frog",Critically Endangered,-,-,-,Yes,-,-,-,-,Animalia,Amphibia
"McDonald's Frog, Mt Elliot Nursery-frog",Critically Endangered,-,-,-,Yes,-,-,-,-,Animalia,Amphibia
Mountain-top Nursery-frog,Critically Endangered,-,-,-,Yes,-,-,-,-,Animalia,Amphibia
"Neglected Frog, Bellenden Ker Nursery-frog",Critically Endangered,-,-,-,Yes,-,-,-,-,Animalia,Amphibia
Coastal Coprosma,Endangered,-,-,-,-,-,-,-,-,Plantae,Magnoliopsida
Mountain Coprosma,Endangered,-,-,-,-,-,-,-,-,Plantae,Magnoliopsida
Native Jute,Endangered,-,Yes,-,Yes,-,-,-,-,Plantae,Magnoliopsida
Ti,Vulnerable,-,-,-,-,-,-,-,-,Plantae,Liliopsida
a beetle,Critically Endangered,-,Yes,-,-,-,-,-,-,Animalia,Insecta
-,Endangered,-,Yes,-,-,-,-,-,-,Plantae,Magnoliopsida
Chef's Cap,Vulnerable,-,Yes,-,-,-,-,-,-,Plantae,Magnoliopsida
Hindmarsh Correa,Vulnerable,-,-,-,-,Yes,-,-,-,Plantae,Magnoliopsida
Deep Creek Correa,Endangered,-,-,-,-,Yes,-,-,-,Plantae,Magnoliopsida
Genoa River Correa,Endangered,-,Yes,-,-,-,-,Yes,-,Plantae,Magnoliopsida
"Short-spiked Midge-orchid, Rocky Cape Midge Orchid",Endangered,-,-,-,-,-,Yes,-,-,Plantae,Liliopsida
"Brindabella Midge-orchid, Ectopic Midge-orchid",Critically Endangered,Yes,-,-,-,-,-,-,-,Plantae,Liliopsida
Firth's Midge-orchid,Critically Endangered,-,-,-,-,-,Yes,-,-,Plantae,Liliopsida
