Species,Common_name,Official_country,Probable_starting_year_adjusted,Probable_ending_year_adjusted,Cost_estimate_per_year_2017_USD_exchange_rate,Impacted_sector,Type_of_cost,Method_reliability
Diverse/Unspecified,Diverse (insects/pathogenes),United States of America,2000,2000,42674278.35,Authorities-Stakeholders,Funding,High
Diverse/Unspecified,Diverse (insects/pathogenes),Canada,2000,2000,690110661.10,Forestry,Damage-Loss,High
Lymantria dispar,European gypsy moth,United States of America,1981,1981,24262592.80,Authorities-Stakeholders,Control,High
Lymantria dispar,European gypsy moth,United States of America,1981,1981,194100742.37,Forestry,Damage-Loss,High
Lymantria dispar,European gypsy moth,United States of America,1980,1994,48257163.95,Authorities-Stakeholders,Control/Eradication/Research,High
Lymantria dispar,European gypsy moth,United States of America,1995,1995,12868577.05,Authorities-Stakeholders,Control,High
Lymantria dispar,Asian gypsy moth,Diverse/Unspecified,1993,1993,42420464.38,Authorities-Stakeholders,Eradication,High
Lymantria dispar,Asian gypsy moth,United States of America,1995,1995,7238574.59,Authorities-Stakeholders,Eradication,High
Lymantria dispar,European gypsy moth,United States of America,1969,1988,410851626.38,Forestry,Damage-Loss,Low
Lymantria dispar,Asian gypsy moth,United States of America,1993,1993,28845915.78,Authorities-Stakeholders,Eradication/Monitoring,Low
Anthonomus grandis/Apis mellifera/Ceratitis capitata/Ips typographus/Lymantria dispar/Lymantria monacha,African honey bee/Boll weevil/Mediterranean fruit fly/Spruce bark beetles/Asian gypsy moth/Nun moth,United States of America,1993,2043,2654328770.30,Unspecified,Damage-Loss,Low
Lymantria dispar,European gypsy moth,United States of America,1987,1991,17514561.33,Authorities-Stakeholders,Eradication,Low
Diverse/Unspecified,NA,United States of America,1991,1991,9359029.55,Authorities-Stakeholders,Eradication,Low
Anthonomus grandis,Boll weevil,United States of America,1909,1949,89990668787.86,Agriculture,Damage-Loss,Low
Ceratitis capitata,Mediterranean fruit fly,United States of America,1989,1989,1773640222.51,Agriculture,Control/Damage-Loss,Low
Hypera postica,Alfalfa weevil,United States of America,1990,1990,938017411.82,Unspecified,Control/Damage-Loss,Low
Diuraphis noxia,Russian wheat aphid,United States of America,1988,1988,358170649.00,Agriculture,Control/Damage-Loss,Low
Lymantria dispar,European gypsy moth,United States of America,1981,1981,2059624544.04,Forestry,Damage-Loss,Low
Lymantria dispar,European gypsy moth,United States of America,1991,1991,19797947.13,Authorities-Stakeholders,Prevention,Low
Lymantria dispar,European gypsy moth,United States of America,1990,1990,37520696.47,Authorities-Stakeholders,Eradication,Low
Anthonomus grandis,Boll weevil,United States of America,1983,1983,2707143.99,Authorities-Stakeholders,Control/Research,High
Anthonomus grandis,Boll weevil,United States of America,1983,1983,31993519.91,Agriculture,Damage-Loss,High
Anthonomus grandis,Boll weevil,United States of America,1979,1979,502147.93,Authorities-Stakeholders,Control/Eradication,High
Anthonomus grandis,Boll weevil,United States of America,1979,1979,752321.99,Authorities-Stakeholders,Control/Eradication,High
Ceratitis capitata,Mediterranean fruit fly,United States of America,1981,1981,167760604.75,Authorities-Stakeholders,Control/Eradication/Prevention,Low
Ceratitis capitata,Mediterranean fruit fly,United States of America,1981,1981,3292254623.20,Agriculture,Damage-Loss,Low
Ceratitis capitata,Mediterranean fruit fly,United States of America,1981,1981,2138916213.88,Agriculture,Damage-Loss,Low
Ceratitis capitata,Mediterranean fruit fly,United States of America,1981,1981,164502942.54,Authorities-Stakeholders,Control/Eradication/Prevention,Low
Ceratitis capitata,Mediterranean fruit fly,United States of America,1981,1981,8067645458.70,Agriculture,Damage-Loss,Low
Anthonomus grandis,Boll weevil,United States of America,1986,1986,131.48,Agriculture,Damage-Loss,Low
Lymantria dispar,European gypsy moth,United States of America,1987,1991,3393637.15,Authorities-Stakeholders,Eradication,Low
Lymantria dispar,European gypsy moth,United States of America,1992,1992,6723829.03,Authorities-Stakeholders,Eradication,Low
Diverse/Unspecified,NA,United States of America,1992,1992,15722125.55,Authorities-Stakeholders,Research,Low
Popillia japonica,Japanese beetle,United States of America,1990,1990,609956.75,Authorities-Stakeholders,Control,Low
Ceratitis capitata,Mediterranean fruit fly,United States of America,1980,1982,56560619.17,Authorities-Stakeholders,Eradication,Low
Perkinsiella saccharicida,Sugar cane leafhopper,United States of America,1904,1904,46900870.59,Agriculture,Damage-Loss,Low
Calandra obscura,Sugar cane beetle borer,United States of America,1990,1990,1876034.82,Agriculture,Damage-Loss,Low
Elasmopalpus lignosella,Lesser cornstalk borer,United States of America,1986,1991,2699720.06,Agriculture,Damage-Loss,Low
Sipha flava,Yellow sugarcane aphid,United States of America,1991,1991,359962.68,Authorities-Stakeholders,Control,Low
Diverse/Unspecified,NA,United States of America,1987,1987,108942.04,Authorities-Stakeholders,Research,Low
Diverse/Unspecified,NA,United States of America,1989,1989,222051.06,Authorities-Stakeholders,Research,Low
Diverse/Unspecified,NA,United States of America,1992,1992,156347.80,Authorities-Stakeholders,Research,Low
Ceratitis capitata,Mediterranean fruit fly,United States of America,1993,1993,169681.86,Authorities-Stakeholders,Monitoring,Low
Scapteriscus sp.,Mole crickets,United States of America,1986,1986,172196833.42,Public and social welfare,Control/Damage-Loss,Low
Aleurocanthus woglumi,Asian citrus blackfly,United States of America,1957,1991,499064.29,Authorities-Stakeholders,Control/Eradication,Low
Ceratitis capitata,Mediterranean fruit fly,United States of America,1991,1991,424204.64,Authorities-Stakeholders,Eradication,Low
Apis mellifera,Africanized honeybee,United States of America,1987,1987,194154125.41,Agriculture,Damage-Loss,High
Bactrocera cucurbitae/Bactrocera dorsalis/Ceratitis capitata,Melon fruit fly/Oriental fruit fly/Mediterranean fruit fly,United States of America,1989,1989,593190709.87,Agriculture,Damage-Loss,Low
Bactrocera cucurbitae/Bactrocera dorsalis/Ceratitis capitata,Melon fruit fly/Oriental fruit fly/Mediterranean fruit fly,United States of America,1993,1993,5938865.01,Agriculture,Damage-Loss,Low
Bactrocera cucurbitae/Bactrocera dorsalis/Ceratitis capitata,Melon fruit fly/Oriental fruit fly/Mediterranean fruit fly,United States of America,1993,1993,1696818.58,Authorities-Stakeholders,Control,Low
Diverse/Unspecified,Forest pests,New Zealand,2000,2040,189456180.20,Forestry,Damage-Loss,High
Diverse/Unspecified,Forest pests,New Zealand,2000,2040,757919358.19,Forestry,Damage-Loss,High
Diverse/Unspecified,Forest pests,New Zealand,2000,2040,81741473.44,Forestry,Damage-Loss,High
Orgyia thyellina,white-spotted tussock moth,New Zealand,1997,1997,8601751.11,Authorities-Stakeholders,Eradication,Low
Orgyia thyellina,white-spotted tussock moth,New Zealand,1997,1997,84211143.42,Forestry,Damage-Loss,Low
Orgyia thyellina,white-spotted tussock moth,New Zealand,1997,1997,29848076.37,Authorities-Stakeholders,Control,Low
Orgyia thyellina,white-spotted tussock moth,New Zealand,1997,1997,1290262.67,Authorities-Stakeholders,Control,Low
Teia anartoides,Painted apple moth,New Zealand,2004,2004,86017511.15,Authorities-Stakeholders,Eradication,High
Lymantria dispar,Gypsy moth,United States of America,1933,1952,272523.32,Forestry,Damage-Loss,High
Orgyia pseudotsugata,Douglas-fir tussock moth,United States of America,1983,1983,5632148.55,Forestry,Damage-Loss,High
Orgyia pseudotsugata,Douglas-fir tussock moth,United States of America,1983,1983,856501.85,Authorities-Stakeholders,Control,High
Lymantria dispar,Gypsy moth,New Zealand,2004,2004,249880869.89,Forestry,Damage-Loss,High
Trialeurodes vaporariorum,Greenhouse whitefly,United States of America,2006,2006,10821.70,Authorities-Stakeholders,Control,High
Orgyia leucostigma,White spotted tussock moth,New Zealand,1996,1998,3106237.46,Authorities-Stakeholders,Eradication,Low
Orgyia leucostigma,White spotted tussock moth,New Zealand,2014,2034,3934567.45,Agriculture,Damage-Loss,Low
Uraba lugens,Gum leaf skeletoniser,New Zealand,1998,1998,1553118.73,Authorities-Stakeholders,Eradication,Low
Uraba lugens,Gum leaf skeletoniser,New Zealand,2014,2034,4737012.13,Agriculture,Damage-Loss,Low
Uraba lugens,Gum leaf skeletoniser,New Zealand,2003,2003,119922604.76,Authorities-Stakeholders,Eradication,Low
Teia anartoides,Painted Apple Moth,New Zealand,1999,2006,6341901.49,Authorities-Stakeholders,Eradication,Low
Teia anartoides,Painted Apple Moth,New Zealand,2014,2034,8050332.09,Agriculture,Damage-Loss,Low
Hyphantria cunea,Fall Webworm,New Zealand,2003,2006,1294265.61,Authorities-Stakeholders,Eradication,Low
Hyphantria cunea,Fall Webworm,New Zealand,2014,2034,1967283.73,Agriculture,Damage-Loss,Low
Lymantria dispar,Gypsy Moth,New Zealand,2003,2005,1725687.48,Authorities-Stakeholders,Eradication,Low
Lymantria dispar,Gypsy Moth,New Zealand,2014,2034,5694768.68,Agriculture,Damage-Loss,Low
Diverse/Unspecified,Pest animals vertebrates (including aquatic species),Australia,2005,2005,690128774.84,Authorities-Stakeholders,Control,High
Maconellicoccus hirsutus,Hibiscus mealy bug,Diverse/Unspecified,2002,2002,81763307.85,Agriculture,Damage-Loss,Low
Maconellicoccus hirsutus,Hibiscus mealy bug,Diverse/Unspecified,2002,2002,1362721.80,Authorities-Stakeholders,Control,Low
Ceratitis capitata,Mediterranean fruit fly,Diverse/Unspecified,2002,2002,2044082696.32,Authorities-Stakeholders,Eradication,Low
Ceratitis capitata,Mediterranean fruit fly,United States of America,1993,1993,126733127.17,Authorities-Stakeholders,Eradication,Low
Ceratitis capitata,Mediterranean fruit fly,United States of America,2002,2002,2492418167.71,Agriculture,Damage-Loss,Low
Ceratitis capitata,Mediterranean fruit fly,New Zealand,2002,2002,3781502.84,Authorities-Stakeholders,Eradication,Low
Anoplolepis gracilipes,Yellow crazy ant,Australia,2003,2003,648126.25,Authorities-Stakeholders,Eradication,High
Bactrocera papayae,Asian papaya fruit fly,Australia,2002,2002,25913416.64,Authorities-Stakeholders,Eradication,Low
Anoplophora glabripennis,Asian long-horned beetle,United States of America,1996,2003,4996775.20,Authorities-Stakeholders,Eradication,High
Solenopsis invicta,Red Imported Fire Ant,United States of America,1930,1950,19773023.66,Authorities-Stakeholders,Eradication,Low
Cydia pomonella,Codling moth,Canada,1975,1975,215.66,Authorities-Stakeholders,Eradication,High
Cydia pomonella,Codling moth,Canada,1975,1975,91.06,Authorities-Stakeholders,Control,High
Ceratitis capitata,Mediterranean fruit fly,United States of America,1995,1995,778726652.04,Authorities-Stakeholders,Control,High
Ceratitis capitata,Mediterranean fruit fly,United States of America,1992,1992,985253201.09,Agriculture,Damage-Loss,High
Ceratitis capitata,Mediterranean fruit fly,United States of America,1981,1981,113848925.74,Authorities-Stakeholders,Eradication,High
Anthonomus grandis,Boll weevil,United States of America,2000,2000,142345867.21,Authorities-Stakeholders,Eradication,High
Lymantria dispar,Gypsy moth,Canada,1999,1999,2971317.51,Authorities-Stakeholders,Eradication,High
Anoplophora glabripennis,Asian long-horned beetle,United States of America,,,,Forestry,Damage-Loss,High
Agrilus planipennis,Emerald ash borer,United States of America,2004,2004,2618819.30,Authorities-Stakeholders,Funding,Low
Agrilus planipennis,Emerald ash borer,United States of America,2005,2005,21309871.32,Authorities-Stakeholders,Funding,Low
Diverse/Unspecified,Terrestrial arthropods,United States of America,1999,1999,227350896.74,Authorities-Stakeholders,Funding,High
Diverse/Unspecified,Defoliator insects,United States of America,1990,2040,1083205388.17,Forestry,Damage-Loss,High
Solenopsis invicta,Red Imported Fire Ant,United States of America,1996,1996,312552863.67,Authorities-Stakeholders,Eradication,High
Lymantria dispar,European gypsy moth,United States of America,1981,1981,2059624544.04,Forestry,Damage-Loss,High
Lymantria dispar,Asian Gypsy moth,United States of America,1981,1981,31255286.37,Authorities-Stakeholders,Eradication,High
Aleurocanthus woglumi,Asian citrus blackfly,United States of America,1934,1937,78138.22,Authorities-Stakeholders,Eradication,High
Liriomyza sativae,Leaf miner,China,2002,2002,109017743.80,Unspecified,Damage-Loss,High
Anthonomus grandis,Boll weevil,United States of America,1995,1995,160857213.17,Agriculture,Damage-Loss,Low
Hypera postica,Alfalfa weevil,United States of America,1998,1998,751862123.61,Agriculture,Damage-Loss,Low
Diuraphis noxia,Russian wheat aphid,United States of America,1998,1998,255633122.03,Agriculture,Damage-Loss,Low
Homalodisca vitripennis,Glassy-winged sharpshooter,United States of America,1999,1999,55770867.23,Agriculture,Damage-Loss,Low
Anthonomus grandis,Boll weevil,United States of America,2002,2002,104929578.41,Authorities-Stakeholders,Eradication,High
Anthonomus grandis,Boll weevil,United States of America,2003,2003,45304095.13,Authorities-Stakeholders,Eradication,High
Anastrepha ludens/Ceratitis capitata,Mexican fruit fly/Mediterranean fruit fly,United States of America,2002,2002,50420706.51,Authorities-Stakeholders,Eradication,High
Anastrepha ludens/Ceratitis capitata,Mexican fruit fly/Mediterranean fruit fly,United States of America,2003,2003,82613349.94,Authorities-Stakeholders,Eradication,High
Anastrepha ludens/Ceratitis capitata,Mexican fruit fly/Mediterranean fruit fly,United States of America,2003,2003,1093960650.06,Agriculture/Public and social welfare,Damage-Loss,Low
Anoplophora glabripennis,Asian long-horned beetle,United States of America,2001,2001,56757734845.63,Agriculture/Forestry/Public and social welfare,Damage-Loss,Low
Anoplophora glabripennis,Asian long-horned beetle,United States of America,,2007,,Forestry,Damage-Loss,High
Anoplophora glabripennis,Asian long-horned beetle,United States of America,2002,2022,1946745425.06,Forestry,Damage-Loss,High
Anoplophora glabripennis,Asian long-horned beetle,United States of America,2002,2002,497393456.10,Authorities-Stakeholders,Eradication,High
Eoreuma loftini,Mexican rice borer,United States of America,1997,1997,22905993.67,Agriculture,Damage-Loss,High
Teia anartoides,Painted Apple Moth,New Zealand,2001,2021,1396701.14,Agriculture/Forestry,Damage-Loss,Low
Teia anartoides,Painted Apple Moth,New Zealand,2002,2022,6523092.41,Agriculture/Forestry,Damage-Loss,Low
Teia anartoides,Painted Apple Moth,New Zealand,2002,2002,56722542.66,Authorities-Stakeholders,Eradication,Low
Ceratitis capitata,Mediterranean fruit fly,Argentina,2004,2004,12977300.80,Authorities-Stakeholders,Control,High
Ceratitis capitata,Mediterranean fruit fly,Argentina,2004,2004,116795707.23,Agriculture,Damage-Loss,High
Coptotermes formosanus,Formosan termite,United States of America,2005,2005,125514614.89,Public and social welfare,Damage-Loss,Low
Prostephanus truncatus,Larger grain borer,Ghana,2007,2007,651757.48,Agriculture,Damage-Loss,High
Prostephanus truncatus,Larger grain borer,Benin/Guinea/Togo,2007,2007,9119409.08,Authorities-Stakeholders,Funding,High
Prostephanus truncatus,Larger grain borer,Benin,2007,2007,5593237.57,Agriculture,Damage-Loss,High
Prostephanus truncatus,Larger grain borer,Ghana,2007,2007,38909.48,Agriculture,Damage-Loss,High
Prostephanus truncatus,Larger grain borer,Diverse/Unspecified,2006,2006,18.24,Authorities-Stakeholders,Control,High
Prostephanus truncatus,Larger grain borer,Benin,2006,2006,183.60,Authorities-Stakeholders,Control,High
Prostephanus truncatus,Larger grain borer,Benin,2006,2006,31.61,Authorities-Stakeholders,Control,High
Prostephanus truncatus,Larger grain borer,Benin,2006,2006,265070.82,Authorities-Stakeholders,Control,High
Prostephanus truncatus,Larger grain borer,Togo,2001,2007,14323.55,Authorities-Stakeholders,Control,High
Prostephanus truncatus,Larger grain borer,Benin,2001,2007,14323.55,Authorities-Stakeholders,Control,High
Prostephanus truncatus,Larger grain borer,Kenya,2001,2007,14323.55,Authorities-Stakeholders,Control,High
Trogoderma granarium,Khapra beetle,United Republic of Tanzania,1986,1990,16796.81,Authorities-Stakeholders,Eradication,High
Ceratitis capitata,Mediterranean fruit fly,United States of America,1989,1989,7316018.76,Agriculture,Damage-Loss,Low
Diverse/Unspecified,Diverse (insects/mites),United States of America,2003,2003,8128087.66,Public and social welfare,Damage-Loss,High
Teia anartoides,Painted Apple Moth,New Zealand,2002,2005,26512066.60,Authorities-Stakeholders,Eradication,High
Listronotus bonariensis,Argentine Stem Weevil,New Zealand,1991,1991,155217710.27,Agriculture,Damage-Loss,High
Listronotus bonariensis,Argentine Stem Weevil,New Zealand,1991,1991,15573683.30,Health,Damage-Loss,High
Diverse/Unspecified,Diverse (forest pests including pathogens),United States of America,1994,1994,9922195985.83,Forestry,Damage-Loss,High
Diverse/Unspecified,Diverse (insects/mites),United States of America,1996,1996,356310264.58,Agriculture,Damage-Loss,Low
Coptotermes formosanus,Formosan termite,United States of America,2001,2001,207650249.44,Unspecified,Control/Damage-Loss,High
Diverse/Unspecified,Alien fruit flies,United States of America,2001,2001,415300498.87,Agriculture,Damage-Loss,High
Coptotermes formosanus,Formosan termite,United States of America,1999,1999,1471526839.76,Public and social welfare,Damage-Loss,Low
Diverse/Unspecified,lawn/garden/golf course introduced insects,United States of America,2000,2000,2135188008.13,Authorities-Stakeholders,Control,High
Diuraphis noxia,Russian wheat aphid,United States of America,1987,1989,359962675.15,Agriculture,Damage-Loss,Low
Leptinotarsa decemlineata,Colorado potato beetle,United Kingdom,2000,2030,277829.63,Authorities-Stakeholders,Control,Low
Leptinotarsa decemlineata,Colorado potato beetle,United Kingdom,1979,1979,19312836.75,Agriculture,Control/Damage-Loss,High
Leptinotarsa decemlineata,Colorado potato beetle,United Kingdom,1977,1977,738898.98,Authorities-Stakeholders,Control/Eradication/Prevention,High
Leptinotarsa decemlineata,Colorado potato beetle,United Kingdom,1948,1948,2469181.32,Authorities-Stakeholders,Eradication,High
Bemisia tabaci,Tobacco whitefly,United Kingdom,1996,1996,28038939.39,Agriculture,Damage-Loss,Low
Leptinotarsa decemlineata,Colorado potato beetle,Finland,1998,2004,269589.16,Authorities-Stakeholders,Control/Prevention,High
Leptinotarsa decemlineata,Colorado potato beetle,Finland,1998,2004,183806.13,Authorities-Stakeholders,Control,High
Leptinotarsa decemlineata,Colorado potato beetle,Finland,2006,2056,19846368.68,Authorities-Stakeholders,Control/Prevention,High
Leptinotarsa decemlineata,Colorado potato beetle,Finland,2006,2056,464088.67,Authorities-Stakeholders,Control,High
Cochliomyia hominivorax,New World Screwworm,Australia,1994,1994,519897846.15,Agriculture,Damage-Loss,High
Cochliomyia hominivorax,New World Screwworm,Australia,1994,1994,338538132.38,Agriculture,Damage-Loss,High
Coptotermes formosanus,Formosan termite,United States of America,1984,1984,229059936.66,Public and social welfare,Control/Damage-Loss,High
Coptotermes formosanus,Formosan termite,United States of America,1997,1997,45811987.33,Authorities-Stakeholders,Control,High
Coptotermes formosanus,Formosan termite,United States of America,1999,1999,515034.39,Authorities-Stakeholders,Research,High
Leptinotarsa undecimpunctata,Spotted Cucumber Beetle,United Kingdom,1999,1999,89935.83,Authorities-Stakeholders,Eradication,Low
Lymantria monacha,Nun moth,United States of America,2000,2030,118621556.01,Forestry,Damage-Loss,Low
Sirex noctilio,Sirex woodwasp,United States of America,2000,2030,36060953.03,Forestry,Damage-Loss,Low
Agrilus planipennis,Emerald ash borer,United States of America,2002,2005,3568757720.82,Forestry,Control/Damage-Loss,Low
Agrilus planipennis,Emerald ash borer,United States of America,2005,2005,2510292.30,Forestry,Damage-Loss,Low
Lymantria dispar,Nun moth,United States of America,1981,1981,5864524564.18,Forestry,Damage-Loss,Low
Diverse/Unspecified,Insects,Australia,2011,2011,53.61,Public and social welfare,Personal loss,High
Diverse/Unspecified,Insects,Australia,2011,2011,95.56,Public and social welfare,Personal loss,High
Phyllotreta cruciferae,Crucifer flea beetle,United States of America,2009,2009,161271152.24,Agriculture,Damage-Loss,High
Lymantria dispar/Lymantria monacha,Asian gypsy/Nun moth,United States of America,2006,2006,72955272.62,Forestry,Damage-Loss,High
Lymantria dispar/Lymantria monacha,Asian gypsy/Nun moth,United States of America,2006,2006,32829872.68,Authorities-Stakeholders,Control/Detection/Eradication,High
Lymantria dispar,Gypsy moth,United States of America,1980,1998,12802412.68,Authorities-Stakeholders,Control,Low
Lymantria dispar,Gypsy moth,Canada,1986,1991,1339900.45,Authorities-Stakeholders,Control,Low
Lymantria dispar,Asian/European gypsy moths,Canada,1992,1992,9394087.53,Authorities-Stakeholders,Eradication,Low
Lymantria dispar,Asian/European gypsy moths,Canada,1999,1999,3664624.93,Authorities-Stakeholders,Control,Low
Lymantria dispar,Gypsy moth,Canada,2002,2002,217088.17,Authorities-Stakeholders,Control,Low
Lymantria dispar,Gypsy moth,Canada,2002,2002,17367053.82,Forestry,Damage-Loss,Low
Aedes albopictus,Asian tiger mosquito,United States of America,2001,2001,1622785.34,Authorities-Stakeholders,Control,High
Aedes albopictus,Asian tiger mosquito,France,2008,2008,683752.58,Authorities-Stakeholders,Monitoring,High
Diverse/Unspecified,Cockroaches,Diverse/Unspecified,2007,2007,36405786.10,Unspecified,Damage-Loss,Low
Diverse/Unspecified,Insects and mites,India,2001,2001,23256827936.75,Agriculture,Damage-Loss,High
Vespula germanica,European wasp,Australia,2002,2002,1480766.67,Agriculture/Environment/Health/Public and social welfare,Control/Damage-Loss,Low
Solenopsis invicta,Red Imported Fire Ant,Australia,2001,2031,212411824.44,Agriculture/Environment/Health,Damage-Loss,Low
Anoplolepis gracilipes,Yellow crazy ant,Australia,2003,2003,103700.20,Authorities-Stakeholders,Funding,High
Homalodisca vitripennis,Glassy-winged sharpshooter,United States of America,2003,2003,4397162174.41,Agriculture,Damage-Loss,Low
Bemisia tabaci,Tobacco whitefly,United States of America,2005,2005,83418.27,Authorities-Stakeholders,Control,High
Anthonomus grandis,Boll weevil,United States of America,1890,2012,3528396.76,Agriculture,Unspecified,High
Lymantria dispar,Asian gypsy moth,United States of America,2012,2012,21352445.82,Authorities-Stakeholders,Eradication,High
Sternochetus frigidus,Mango Pulp Weevil,Philippines,1990,2009,6449506.26,Agriculture,Damage-Loss,High
Anoplolepis gracilipes,Yellow crazy ant,Australia,2003,2003,213449.58,Authorities-Stakeholders,Eradication,High
Maconellicoccus hirsutus,Hibiscus Mealybug,Grenada,2003,2003,24384262.97,Agriculture,Damage-Loss,High
Diverse/Unspecified,Ambrosia beetle,United States of America,,2014,,Forestry,Damage-Loss,High
Diverse/Unspecified,Ambrosia beetle,United States of America,2016,2016,4762897444.91,Forestry,Damage-Loss,High
Diverse/Unspecified,Diverse (Wood-infesting insects),United States of America,2014,2014,310623.75,Authorities-Stakeholders,Control/Prevention,High
Anoplophora glabripennis,Asian long-horned beetle,United States of America,2011,2011,32691449.91,Public and social welfare,Damage-Loss,High
Anoplophora glabripennis,Asian long-horned beetle,United States of America,2014,2014,1553118.73,Forestry,Damage-Loss,High
Anoplophora glabripennis,Asian long-horned beetle,United States of America,2013,2013,683935.97,Public and social welfare,Damage-Loss,High
Anoplophora glabripennis,Asian long-horned beetle,United States of America,1997,2006,84176734.99,Authorities-Stakeholders,Eradication,High
Anoplophora glabripennis,Asian long-horned beetle,United States of America,2013,2013,18939765.37,Public and social welfare,Damage-Loss,High
Agrilus planipennis,Emerald ash borer,United States of America,2014,2014,2070824.98,Authorities-Stakeholders,Control,High
Agrilus planipennis,Emerald ash borer,United States of America,2013,2013,11574301.06,Public and social welfare,Damage-Loss,High
Agrilus planipennis,Emerald ash borer,United States of America,2014,2014,82833.00,Public and social welfare,Damage-Loss,High
Agrilus planipennis,Emerald ash borer,United States of America,2014,2014,485898.37,Forestry,Damage-Loss,High
Agrilus planipennis,Emerald ash borer,United States of America,2014,2014,17084306.05,Forestry,Damage-Loss,High
Agrilus planipennis,Emerald ash borer,United States of America,2014,2014,1594535231.56,Public and social welfare,Damage-Loss,High
Drosophila suzukii,Spotted Wing Drosophila ,United States of America,2012,2012,2669055.73,Agriculture,Damage-Loss,High
Drosophila suzukii,Spotted Wing Drosophila ,United States of America,2012,2012,108096.76,Agriculture,Damage-Loss,High
Diverse/Unspecified,4 new sugarcane pest insects,United States of America,1985,2002,735763.42,Agriculture,Damage-Loss,Low
Myriophyllum spicatum,Eurasian milfoil,United States of America,1985,2010,266218.27,Authorities-Stakeholders,Control,High
Dreissena polymorpha,Zebra mussel,Spain,2005,2009,3193975.47,Agriculture/Public and social welfare,Control/Damage-Loss,High
Amphibalanus improvisus,Bay barnacle,Sweden,2007,2007,52246348.14,Public and social welfare,Damage-Loss,High
Pseudorasbora parva,Topmouth gudgeon,United Kingdom,2007,2007,126977.80,Authorities-Stakeholders,Control,High
Perccottus glenii,Chinese sleeper,Diverse/Unspecified,2008,2008,7337.83,Authorities-Stakeholders,Control,Low
Magallana gigas,Pacific oyster,Diverse/Unspecified,2007,2007,1618034.94,Environment/Health/Public and social welfare,Damage-Loss,Low
Cercopagis pengoi,Fish-hook waterflea,Finland,1996,1998,48807.43,Fishery,Damage-Loss,Low
Melaleuca quinquenervia,Broad-leaved paperbark,South Africa,2009,2014,9169.09,Authorities-Stakeholders,Control/Eradication,High
Sporobolus alterniflorus,Smooth cordgrass,United States of America,2011,2011,1298353.49,Authorities-Stakeholders,Eradication,High
Dreissena polymorpha/Dreissena bugensis,Zebra mussel,Canada/United States of America,1989,2004,23099595.43,Environment,Damage-Loss,High
Azolla filiculoides,Water fern,United Kingdom,2009,2009,791647.53,Authorities-Stakeholders,Control,High
Azolla filiculoides,Water fern,United Kingdom,2009,2009,1583295.06,Authorities-Stakeholders,Control,High
Pseudorasbora parva,Topmouth gudgeon,United Kingdom,2009,2009,397878.66,Authorities-Stakeholders,Control,High
Pseudorasbora parva,Topmouth gudgeon,United Kingdom,2009,2009,1047048.82,Authorities-Stakeholders,Control,High
Crassula helmsii,Australian swamp stonecrop,United Kingdom,2009,2009,235729.84,Authorities-Stakeholders,Control,High
Crassula helmsii,Australian swamp stonecrop,United Kingdom,2009,2009,1071499.29,Authorities-Stakeholders,Control,High
Dreissena polymorpha,Zebra mussel,United Kingdom,2009,2009,7472744.65,Authorities-Stakeholders,Control,High
Dreissena polymorpha,Zebra mussel,United Kingdom,2009,2009,16983509.42,Authorities-Stakeholders,Control,High
Elodea canadensis,Canadian pondweed,United Kingdom,2009,2009,20719056.76,Authorities-Stakeholders,Control,High
Elodea canadensis,Canadian pondweed,United Kingdom,2009,2009,30027617.88,Authorities-Stakeholders,Control,High
Elodea nuttallii,Nuttall's pondweed,United Kingdom,2009,2009,7777644.93,Authorities-Stakeholders,Control,High
Elodea nuttallii,Nuttall's pondweed,United Kingdom,2009,2009,12962742.14,Authorities-Stakeholders,Control,High
Hydrocotyle ranunculoides,Floating pennywort,United Kingdom,2009,2009,667618.82,Authorities-Stakeholders,Control,High
Hydrocotyle ranunculoides,Floating pennywort,United Kingdom,2009,2009,776301.24,Authorities-Stakeholders,Control,High
Lagarosiphon major,Curly waterweed,United Kingdom,2009,2009,2088202.61,Authorities-Stakeholders,Control,High
Lagarosiphon major,Curly waterweed,United Kingdom,2009,2009,3480336.50,Authorities-Stakeholders,Control,High
Ludwigia grandiflora,Water primrose,United Kingdom,2009,2009,18267.11,Authorities-Stakeholders,Control,High
Myriophyllum aquaticum,Parrot's feather,United Kingdom,2009,2009,2014044.89,Authorities-Stakeholders,Control,High
Pacifastacus leniusculus,American signal crayfish,United Kingdom,2009,2009,3931658.41,Authorities-Stakeholders,Control,High
Pacifastacus leniusculus,American signal crayfish,United Kingdom,2009,2009,6445342.35,Authorities-Stakeholders,Control,High
Mytilopsis trautwineana,Mytilopsis trautwineana,Colombia,2008,2008,6830935.54,Authorities-Stakeholders,Control,High
Gyrodactylus salaris,Salmon fluke,Norway,2006,2006,32696782.92,Environment/Fishery,Damage-Loss,Low
Gyrodactylus salaris,Salmon fluke,United Kingdom,1986,2006,93296936.89,Environment/Fishery,Damage-Loss,High
Gyrodactylus salaris,Salmon fluke,Diverse/Unspecified,2009,2009,42521690.02,Environment/Fishery,Damage-loss,High
Eriocheir sinensis,Chinese mitten crab,Germany,1912,2005,1365011.33,Environment/Fishery/Public and social welfare,Damage-Loss,High
Aphanomyces astaci,Crayfish plague,Diverse/Unspecified,2014,2014,72806984.23,Environment/Fishery/Health/Public and social welfare,Damage-Loss,High
